User_ID,Movies_Watched
1,"The Bourne Identity, Dragon Fist, The BFG, Solomon Kane, Stardust, Aliens, Black Death, The Smurfs, Steve Jobs, The Hunt For Red October, The Age of Innocence, Exodus: Gods and Kings, Liar Liar, The 39 Steps, American Graffiti"
2,"101 Dalmatians, Shanghai Noon, Fargo, A Place in the Sun, Hang 'Em High, Monty Python and the Holy Grail, Matchstick Men, Who Framed Roger Rabbit?, Sicario, Kill List, The Expendables 2, Samurai Reincarnation, Brief Encounter, Zootopia, Outland"
3,"Shane, Innerspace, Bill & Ted's Bogus Journey, Saturday Night Fever, Pumping Iron, Swiss Family Robinson, Spider-Man, Lone Wolf and Cub: White Heaven in Hell, Final Fantasy: The Spirits Within, How to Train Your Dragon, West Side Story"
4,"Cars, Unforgiven, Who Framed Roger Rabbit?, Robin Hood: Prince of Thieves, The Odd Couple, Lincoln, Solomon Kane, Jingle All the Way"
5,"Centurion, The Greatest Story Ever Told, Terminator 3: Rise of the Machines, Shrek, Ran, Shooter, Empire of the Sun, Hot Shots!, Lethal Weapon 2, A Hard Day's Night, Bloodsport, Prisoners"
6,"The Lion King, Jarhead, High Plains Drifter, Unbreakable, The Revenant, The Bodyguard, Lolita, The Da Vinci Code, Indecent Proposal, Star Trek III: The Search For Spock"
7,"Star Trek V: The Final Frontier, Timecop, District 9, Goodfellas, Broken Arrow"
8,"Taken, The Hunt For Red October, Goodbye, Mr. Chips, The Lord of the Rings: The Two Towers, John Carter, Death Warrant, Samurai III: Duel at Ganryu Island, A Knight's Tale, Frozen, Once Were Warriors, Murder on the Orient Express, Conan the Barbarian, The Ladykillers, Olympus Has Fallen, Sausage Party"
9,"Lethal Weapon 2, Winners and Sinners, Mamma Mia!, Miracle on 34th Street, Kagemusha"
10,"X-Men: First Class, The Kid, Shallow Grave, Harry Potter and the Goblet of Fire, Taxi Driver, Donnie Brasco, Toy Story, Silence, The Four Musketeers, Star Wars: Episode VI - Return of the Jedi, Spider-Man 3, Punch-Drunk Love, Double Impact, To Have and Have Not, West Side Story"
11,"Iron Man, Shane, The Ladykillers, Rambo: First Blood Part II, Shakespeare in Love, Pirates of the Caribbean: On Stranger Tides, The Nice Guys, Fantastic Beasts and Where to Find Them, How the Grinch Stole Christmas, Live and Let Die, The Deep"
12,"Ted 2, Batman v Superman: Dawn of Justice, Pumping Iron, A Shot in the Dark, 2001: A Space Odyssey, The Living Daylights, Maleficent, Midnight Cowboy"
13,"Anna Karenina, Despicable Me 2, Throne of Blood, Von Ryan's Express, The Martian"
14,"The Incredible Hulk, Mission: Impossible - Ghost Protocol, Ghostbusters II, Ben-Hur, High Plains Drifter, Samurai I: Musashi Miyamoto, Sense and Sensibility"
